earn,male,education,ethnicity,age,height,weight
50000.0,1,16.0,White,45,74,210.0
60000.0,0,16.0,White,58,66,125.0
30000.0,0,16.0,White,29,64,126.0
25000.0,0,17.0,White,57,65,200.0
50000.0,0,16.0,Other,91,63,110.0
62000.0,0,18.0,Black,54,68,165.0
51000.0,0,17.0,White,39,63,190.0
9000.0,0,15.0,White,26,64,125.0
29000.0,0,12.0,White,49,62,200.0
32000.0,1,17.0,White,46,73,230.0
2000.0,1,15.0,Hispanic,21,72,176.0
35000.0,1,,White,53,72,265.0
27000.0,1,12.0,White,26,72,160.0
6530.0,1,16.0,White,65,70,225.0
0.0,0,14.0,White,50,63,107.0
30000.0,1,11.0,White,34,68,170.0
12000.0,1,12.0,White,27,68,144.0
15000.0,1,18.0,White,51,71,193.0
12000.0,0,12.0,White,51,65,250.0
20000.0,0,11.0,White,45,66,130.0
0.0,0,12.0,White,27,60,100.0
25000.0,0,12.0,White,41,65,123.0
22000.0,0,16.0,White,35,66,130.0
25000.0,0,16.0,White,29,65,120.0
20000.0,1,14.0,White,22,71,160.0
17000.0,1,12.0,White,58,68,172.0
40000.0,0,14.0,White,29,68,135.0
44000.0,1,13.0,White,44,70,180.0
0.0,0,9.0,White,21,67,112.0
7000.0,0,12.0,Black,55,64,240.0
53000.0,1,13.0,Black,35,73,190.0
5000.0,0,12.0,Black,23,64,145.0
5000.0,0,13.0,White,51,62,120.0
14000.0,0,14.0,White,21,63,114.0
45000.0,1,14.0,White,36,69,170.0
5500.0,1,14.0,White,22,67,166.0
40000.0,0,12.0,White,41,66,124.0
34000.0,1,12.0,White,45,72,175.0
5000.0,0,12.0,Black,23,63,120.0
10000.0,0,12.0,Black,35,63,184.0
0.0,1,11.0,White,21,68,150.0
27000.0,0,16.0,White,60,64,150.0
62000.0,1,14.0,White,44,73,220.0
15000.0,0,12.0,White,69,67,220.0
0.0,0,12.0,White,44,60,
50000.0,1,16.0,White,38,72,180.0
0.0,0,12.0,White,55,68,158.0
41000.0,1,16.0,White,33,77,255.0
0.0,0,10.0,White,19,64,150.0
15000.0,0,14.0,White,25,64,130.0
25000.0,0,12.0,White,33,64,
25000.0,0,16.0,White,72,63,146.0
75000.0,1,17.0,White,39,72,185.0
27000.0,1,17.0,White,31,68,180.0
12000.0,0,12.0,White,26,64,135.0
40000.0,1,12.0,White,51,70,168.0
7500.0,0,14.0,White,78,61,138.0
25000.0,0,12.0,White,46,65,115.0
30000.0,0,14.0,Black,31,67,135.0
21000.0,0,12.0,White,57,65,150.0
27000.0,0,14.0,White,26,64,120.0
45000.0,1,16.0,White,44,73,165.0
3000.0,0,15.0,White,65,67,130.0
25000.0,0,12.0,White,30,65,170.0
24000.0,0,12.0,White,41,65,140.0
32000.0,0,18.0,White,29,67,145.0
10000.0,0,17.0,White,30,68,145.0
0.0,0,12.0,White,57,70,150.0
11000.0,0,12.0,Hispanic,21,60,100.0
18700.0,0,13.0,White,32,65,105.0
20000.0,0,12.0,White,29,62,120.0
3500.0,1,10.0,White,18,72,160.0
13000.0,1,8.0,Black,56,67,206.0
25000.0,1,12.0,White,65,70,170.0
21000.0,1,17.0,White,41,70,183.0
34000.0,0,17.0,White,49,68,150.0
5000.0,0,12.0,Black,23,66,115.0
6000.0,0,12.0,White,65,60,120.0
17000.0,1,12.0,White,28,71,195.0
35000.0,1,12.0,White,32,71,140.0
4000.0,1,13.0,White,18,73,180.0
5000.0,0,16.0,White,22,64,115.0
14000.0,0,14.0,White,55,68,150.0
10000.0,0,12.0,White,57,66,118.0
25000.0,1,16.0,White,29,69,155.0
0.0,0,8.0,White,63,63,126.0
87000.0,1,18.0,White,60,70,130.0
16000.0,0,14.0,White,27,63,130.0
0.0,0,13.0,Black,30,66,123.0
15000.0,0,12.0,White,33,66,110.0
0.0,0,12.0,White,26,64,200.0
16000.0,1,14.0,Hispanic,28,62,130.0
