rank_hdi,state,hdi,canada_dist,state_abb,income_2000,rank_income
1,Connecticut,0.962,2,CT,37808.164,1.0
2,Massachusetts,0.961,2,MA,34401.375,3.0
3,New Jersey,0.961,2,NJ,34962.64,2.0
4,"Washington, D.C.",0.96,4,DC,,
5,Maryland,0.96,3,MD,31213.26,5.0
6,Hawaii,0.959,2,HI,25892.145,22.0
7,New York,0.959,1,NY,31799.129,4.0
8,New Hampshire,0.958,1,NH,30430.582,6.0
9,Minnesota,0.958,1,MN,29173.195,10.0
10,Rhode Island,0.958,3,RI,26620.154,18.0
11,California,0.958,3,CA,29581.39,8.0
12,Colorado,0.958,3,CO,30405.98,7.0
13,Virginia,0.957,4,VA,28322.182,12.0
14,Illinois,0.957,3,IL,29327.18,9.0
15,Vermont,0.955,1,VT,25220.627,28.0
16,Washington,0.955,1,WA,28956.342,11.0
17,Alaska,0.955,1,AK,27209.668,15.0
18,Delaware,0.953,4,DE,28128.107,13.0
19,Wisconsin,0.952,2,WI,26034.285,19.0
20,Michigan,0.951,1,MI,26927.21,17.0
21,Iowa,0.95,2,IA,24194.674,33.0
22,Pennsylvania,0.95,2,PA,27058.416,16.0
23,Nebraska,0.946,3,NE,25172.336,29.0
24,Kansas,0.941,4,KS,25233.383,27.0
25,Arizona,0.939,3,AZ,23381.016,37.0
26,North Dakota,0.936,1,ND,22878.06,38.0
27,Oregon,0.935,2,OR,25603.31,25.0
28,Maine,0.932,1,ME,23664.383,35.0
29,Utah,0.932,2,UT,21756.436,43.0
30,Ohio,0.932,2,OH,25701.715,24.0
31,Georgia,0.928,5,GA,25502.174,26.0
32,Indiana,0.928,2,IN,24723.14,31.0
33,North Carolina,0.925,5,NC,24665.738,32.0
34,Texas,0.914,5,TX,25797.385,23.0
35,Missouri,0.912,3,MO,24822.455,30.0
36,Nevada,0.911,2,NV,27733.578,14.0
37,South Dakota,0.902,2,SD,23436.596,36.0
38,Florida,0.898,6,FL,25977.793,20.0
39,Wyoming,0.897,2,WY,25934.059,21.0
40,New Mexico,0.895,4,NM,20167.39,47.0
41,Idaho,0.89,1,ID,21936.844,42.0
42,Montana,0.885,1,MT,20894.488,46.0
43,South Carolina,0.871,6,SC,22255.746,39.0
44,Kentucky,0.82,3,KY,22244.812,40.0
45,Tennessee,0.816,4,TN,23780.1,34.0
46,Oklahoma,0.815,4,OK,22241.168,41.0
47,Alabama,0.809,5,AL,21656.209,44.0
48,Arkansas,0.803,4,AR,19977.871,48.0
49,Louisiana,0.801,5,LA,21029.338,45.0
50,West Virginia,0.8,3,WV,19955.092,49.0
51,Mississippi,0.799,5,MS,19140.525,50.0
