state,n_respondents,weekly_or_more,more_than_weekly,weekly,monthly,few_times_year,seldom,never
alabama,513,305,173,132,84,60,44,20
arizona,450,180,54,126,61,71,69,69
arkansas,264,145,74,71,43,33,21,22
california,2350,724,224,500,354,479,430,363
colorado,406,138,52,86,56,78,72,62
connecticut,329,116,33,83,43,65,47,58
delaware,94,40,11,29,10,26,15,3
washington dc,54,17,3,14,8,13,7,9
florida,1467,595,202,393,216,229,256,171
georgia,846,414,176,238,147,145,90,50
hawaii,1,0,0,0,0,0,0,1
idaho,120,50,15,35,7,28,17,18
illinois,936,371,74,297,148,157,154,106
indiana,671,305,120,185,107,115,88,56
iowa,355,142,13,129,68,71,38,36
kansas,283,133,38,95,38,45,35,32
kentucky,428,227,100,127,55,43,57,46
louisiana,480,246,68,178,82,79,38,35
maine,131,31,8,23,13,22,42,23
maryland,489,184,42,142,96,79,88,42
massachusetts,568,168,34,134,74,152,85,89
michigan,829,321,84,237,144,176,110,78
minnesota,596,220,51,169,130,104,79,63
mississippi,228,145,93,52,26,25,25,7
missouri,635,282,98,184,97,105,87,64
montana,74,33,6,27,13,10,10,8
nebraska,168,77,18,59,37,23,14,17
nevada,170,48,12,36,18,38,39,27
new hampshire,146,27,4,23,29,33,33,24
new jersey,725,258,52,206,117,174,97,79
new mexico,182,59,25,34,20,47,36,20
new york,1399,445,131,314,180,322,242,210
north carolina,868,409,155,254,170,128,86,75
north dakota,100,46,7,39,18,22,11,3
ohio,1144,441,98,343,212,224,159,108
oklahoma,356,185,84,101,53,55,38,25
oregon,372,137,42,95,30,73,62,70
pennsylvania,1326,565,128,437,173,238,224,126
rhode island,106,31,6,25,16,22,14,23
south carolina,405,212,92,120,63,67,40,23
south dakota,77,34,6,28,5,22,13,3
tennessee,621,334,153,181,82,89,73,43
texas,1605,744,273,471,266,272,205,118
utah,248,137,42,95,13,37,28,33
vermont,92,26,4,22,8,26,15,17
virginia,733,303,103,200,135,123,108,64
washington,581,164,50,114,70,124,109,114
west virginia,229,96,40,56,31,37,44,21
wisconsin,616,238,58,180,126,109,90,53
wyoming,28,9,2,7,2,10,3,4
